gray_value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,17315
31,32217
32,34437
33,24298
34,34530
35,33091
36,35589
37,36416
38,31016
39,22747
40,34300
41,38308
42,29371
43,33208
44,35056
45,25971
46,33858
47,32655
48,40318
49,27864
50,38049
51,20838
52,31580
53,35484
54,41899
55,35904
56,34273
57,16500
58,35899
59,33216
60,38014
61,29885
62,30954
63,30952
64,30114
65,30819
66,46826
67,17426
68,39977
69,34220
70,30006
71,39825
72,35298
73,33044
74,32503
75,21489
76,31679
77,35122
78,40418
79,32984
80,20473
81,22629
82,49488
83,26448
84,34280
85,0
86,48944
87,52192
88,0
89,58761
90,0
91,69167
92,0
93,68327
94,0
95,62370
96,0
97,52358
98,0
99,65477
100,0
101,86334
102,0
103,0
104,92193
105,0
106,70797
107,0
108,47098
109,0
110,60837
111,41856
112,32950
113,40942
114,41868
115,36841
116,33510
117,19643
118,40224
119,25589
120,27202
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
