gray_value,count
0,0
1,3
2,7
3,22
4,97
5,615
6,2812
7,13267
8,27701
9,38823
10,29522
11,56036
12,125555
13,132695
14,86275
15,72062
16,62757
17,40994
18,38521
19,31864
20,29095
21,27804
22,24189
23,21484
24,30242
25,37494
26,35943
27,23970
28,22170
29,19918
30,16026
31,18264
32,19956
33,17416
34,22326
35,24881
36,26504
37,25790
38,23803
39,21065
40,21335
41,19670
42,18560
43,16028
44,14786
45,15267
46,17070
47,19404
48,19944
49,18366
50,18611
51,19738
52,19336
53,18082
54,18069
55,16896
56,18057
57,15932
58,16629
59,18316
60,21311
61,18979
62,21179
63,19542
64,19690
65,18714
66,19202
67,18218
68,17908
69,16915
70,17464
71,17176
72,18819
73,18685
74,18949
75,19980
76,19859
77,19570
78,19508
79,18925
80,19073
81,18652
82,19227
83,19561
84,19987
85,20655
86,21356
87,20440
88,20817
89,20034
90,19673
91,18544
92,17789
93,17768
94,17506
95,17426
96,16445
97,17119
98,16933
99,17525
100,17843
101,18779
102,19889
103,21630
104,21335
105,23147
106,24671
107,24798
108,28046
109,27664
110,29798
111,29907
112,30484
113,29298
114,26456
115,23228
116,22864
117,21802
118,21811
119,21950
120,22352
121,20645
122,19100
123,19432
124,17153
125,16584
126,16643
127,18446
128,16558
129,16748
130,16150
131,12676
132,8606
133,7368
134,6239
135,5551
136,5649
137,5317
138,4881
139,4909
140,4560
141,4542
142,3679
143,3704
144,3665
145,4174
146,3207
147,3406
148,3429
149,3509
150,3625
151,2736
152,2632
153,3359
154,3384
155,3930
156,3044
157,2562
158,2265
159,2271
160,2247
161,3029
162,2903
163,2761
164,2751
165,3052
166,3528
167,5372
168,5925
169,6038
170,4651
171,2216
172,2148
173,932
174,752
175,720
176,659
177,887
178,914
179,1023
180,1242
181,1440
182,1691
183,1848
184,1929
185,2519
186,2304
187,2132
188,1619
189,1695
190,1676
191,879
192,750
193,489
194,406
195,259
196,252
197,219
198,173
199,169
200,141
201,131
202,131
203,117
204,106
205,115
206,125
207,109
208,113
209,110
210,120
211,124
212,122
213,111
214,142
215,113
216,136
217,122
218,146
219,148
220,166
221,135
222,159
223,171
224,186
225,248
226,425
227,2289
228,3405
229,19280
230,46013
231,51911
232,66546
233,50970
234,46628
235,32911
236,26142
237,22570
238,31264
239,77219
240,134404
241,159937
242,158246
243,80702
244,91734
245,76739
246,252450
247,128738
248,26471
249,16503
250,6661
251,8225
252,6360
253,7822
254,13127
255,10485
