gray_value,count
0,3556
1,13267
2,27701
3,0
4,38823
5,0
6,29522
7,0
8,0
9,56036
10,0
11,0
12,0
13,0
14,0
15,125555
16,0
17,0
18,0
19,0
20,0
21,0
22,132695
23,0
24,0
25,0
26,0
27,86275
28,0
29,0
30,72062
31,0
32,0
33,0
34,62757
35,0
36,40994
37,0
38,38521
39,31864
40,0
41,29095
42,27804
43,0
44,24189
45,21484
46,30242
47,0
48,37494
49,0
50,35943
51,23970
52,0
53,22170
54,35944
55,18264
56,19956
57,17416
58,22326
59,0
60,24881
61,26504
62,25790
63,0
64,23803
65,21065
66,21335
67,19670
68,18560
69,30814
70,15267
71,17070
72,19404
73,19944
74,18366
75,18611
76,19738
77,19336
78,18082
79,18069
80,16896
81,18057
82,32561
83,18316
84,0
85,21311
86,18979
87,21179
88,19542
89,19690
90,18714
91,19202
92,36126
93,16915
94,17464
95,17176
96,18819
97,18685
98,18949
99,19980
100,19859
101,19570
102,19508
103,18925
104,19073
105,18652
106,19227
107,19561
108,19987
109,20655
110,21356
111,20440
112,20817
113,0
114,20034
115,19673
116,36333
117,17768
118,17506
119,17426
120,16445
121,17119
122,16933
123,17525
124,17843
125,18779
126,19889
127,21630
128,21335
129,23147
130,24671
131,0
132,24798
133,28046
134,0
135,27664
136,29798
137,0
138,29907
139,30484
140,0
141,29298
142,26456
143,23228
144,22864
145,0
146,21802
147,21811
148,21950
149,22352
150,20645
151,19100
152,19432
153,17153
154,16584
155,16643
156,18446
157,33306
158,16150
159,21282
160,19158
161,20756
162,20150
163,17725
164,19666
165,18321
166,17464
167,23382
168,18588
169,18252
170,19280
171,0
172,0
173,46013
174,0
175,51911
176,0
177,0
178,0
179,66546
180,0
181,0
182,50970
183,0
184,46628
185,0
186,32911
187,26142
188,22570
189,0
190,31264
191,0
192,0
193,0
194,77219
195,0
196,0
197,0
198,0
199,0
200,0
201,134404
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,159937
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,158246
218,0
219,0
220,0
221,0
222,80702
223,0
224,0
225,0
226,91734
227,0
228,0
229,0
230,76739
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,252450
244,0
245,0
246,0
247,0
248,0
249,0
250,128738
251,26471
252,16503
253,21246
254,20949
255,10485
