gray_value,count
0,28526
1,7096
2,2098
3,3274
4,9396
5,1056
6,3595
7,11982
8,1934
9,564
10,204
11,308
12,3626
13,598
14,4237
15,13177
16,7986
17,6640
18,607
19,707
20,1031
21,347
22,644
23,930
24,3995
25,817
26,365
27,634
28,16664
29,2209
30,18813
31,43998
32,2282
33,587
34,192
35,298
36,981
37,92
38,293
39,719
40,284
41,66
42,19
43,24
44,526
45,93
46,238
47,429
48,3969
49,844
50,265
51,275
52,989
53,85
54,528
55,600
56,6204
57,606
58,279
59,382
60,24405
61,1121
62,9662
63,8865
64,9304
65,1045
66,865
67,770
68,7789
69,403
70,992
71,1337
72,736
73,84
74,58
75,60
76,966
77,84
78,604
79,712
80,989
81,546
82,86
83,96
84,459
85,50
86,78
87,112
88,771
89,95
90,65
91,120
92,1590
93,830
94,832
95,3011
96,3982
97,680
98,297
99,483
100,1070
101,102
102,320
103,642
104,432
105,75
106,36
107,45
108,785
109,119
110,382
111,626
112,15107
113,1249
114,751
115,623
116,1376
117,146
118,676
119,843
120,20487
121,915
122,577
123,759
124,51636
125,3066
126,9237
127,9568
128,1719
129,3219
130,229
131,5179
132,659
133,670
134,426
135,16623
136,165
137,232
138,26
139,216
140,255
141,418
142,193
143,6209
144,520
145,740
146,58
147,594
148,74
149,87
150,74
151,844
152,263
153,287
154,31
155,367
156,828
157,694
158,565
159,7745
160,197
161,324
162,30
163,224
164,55
165,67
166,31
167,481
168,18
169,23
170,10
171,47
172,35
173,41
174,40
175,390
176,317
177,638
178,25
179,364
180,54
181,121
182,43
183,730
184,255
185,377
186,45
187,799
188,628
189,927
190,436
191,7139
192,3566
193,15179
194,532
195,20062
196,857
197,2173
198,797
199,43384
200,252
201,677
202,22
203,555
204,286
205,721
206,361
207,7574
208,628
209,1055
210,71
211,918
212,94
213,127
214,104
215,2173
216,499
217,663
218,60
219,844
220,711
221,939
222,761
223,8781
224,4391
225,15558
226,219
227,8187
228,593
229,934
230,368
231,8025
232,184
233,540
234,41
235,425
236,371
237,684
238,716
239,6060
240,16958
241,46395
242,396
243,8849
244,755
245,2207
246,606
247,8427
248,8152
249,9219
250,391
251,7441
252,9074
253,27535
254,6442
255,282980
